article,method
00431bea7c112c6c03ed10860af49e6e791fd93819e027c15313a8e313bdaff9,median
68303a865563da31f78aa79e9d78c44aa3f8c193d0f5a17774e7027127d6db31,geometric mean
9eeff7d29969f0df86c7ba005eeab62364757bd502fc2e7808d4d40e3211da88,geometric mean
e2a975d73dcd80ed8f711f9fdec9a6e8ecb5757f97e75eaf90e177dc32995f54,median
7c110a04dc53e81baa5223271617efb7fbd3ecf9120bb15f3f18127c9f078650,geometric mean
0e64c52973bd1e8881b8e86ee179fc121078650cc54c02d32faf84acc1e9a5bf,interquartile mean
4dd8e6d749165130d2424056add8d6b0982b2b90ab24bf05eb4c0d08d372cde2,geometric mean
016ea394f1474bfc03944884c61207dd1fe613b9631dbd3b9ed618ef32cece5a,geometric mean
45adc992e2ee666a5bd4ad0ca8796ae0362d952cca6cadbaa1534256c7adf909,median
474716a52e1343ef6865180a86c8a512ec904cac62cd0e4f4fd5d498a632b618,geometric mean
805c94a358c1d459721ef187ff53e0f4be05ee597948ffe5b6a3282699260b87,geometric mean
f6fa11064421b20c878b04ce83456d204248afd1eddc3169a3fd32601493df2b,median
07e9bba1c63a7a01f935ee06d931c453e0864fc0fcc11ec445a8af60a36cc6c8,interquartile mean
4ad4a5575a4532a56144f098e2097119cca7447767d92fec0f8b65d7e54519d0,geometric mean
322142e016e988712de8c373dd1ede27b243aec64b61cd4aa5aa5137e3754b54,interquartile mean
fccb6fd8ebaebf79938dce259ed727f78af3902133d7b1dbf8e52ab34bc3c203,trimmed mean
98c53df687f2e9b94da80eef5b9049f1fac456b4c41c808f1a6b0fe80adecedb,interquartile mean
485d997d70d9483c517eb6f36b649bf37d701e15b0f398df6d01b478d164e82c,interquartile mean
a62b997a576af515d4f6205824da2922c0d100ffb3339aef306e1f0e14be9082,median
48946c09d819e3bf3ac1085116d2b64f4dd28b3d34160c289eed73e33a075d46,median
9a9c3addeb315f143caa7237535329f9bf157ea7232df6e72dba3c15db258c52,median
1edb7b741e0734813c8afd3f0e4553a0e540a61db0cad98b10bde03ec8ab700f,geometric mean
be63eccb7b3825f0859ad5293b877aaf3c4e936377dd8234b0ec7ef8b043d6ef,median
f6d20878d247fa2b8e0a5de186778a3d0d89e10ba985c887e4e5c546250bf39d,median
06d3e145d4acc86902ab3a47a0ec73d2317354d0d48a1aeae191a73dcdddb600,interquartile mean
41390c6530f4b72abce971d07880a121c40d6011cbe796b7fdcfe007f40d2781,geometric mean
cf9c4f6c67d5770c130ded5e261ba9fa47d598c2fdb04c4cc7d776724b822a9c,median
4c9d82d7b1ad9cbd2ede8d5899a82dc46fcb7f4312dd0ea8b87a6092a9b6c4fe,geometric mean
1067c42b97bd35bfa53afe8dcc3ac7262f07e113a53ca290147017f2a8a7b72d,median
544a0e4083eb3744406b98b7b69cc8222a276845c866944a3ccf48057f7b9689,geometric mean
f525eef4f03ab81983392564bc44fea01267b8cd44fc5fd45f1974cb9a6bcd46,trimmed mean
ebc8f7f469c8d487eb96d03cf1bf7857158e205c225a09de8253fe056d4d0ff0,median
d27d2f70a31572f4db8d258706a8b7c9e82e1e28ca3c9f669cd5977991277820,trimmed mean
4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5,geometric mean
ae229d51dbe136220b407cc993948f5b2166cd26fa8108a66b039f8257309558,median
2a2005a19dd5b0c0484102245c4131e5a650506891b747eed63725d04a17802c,geometric mean
5e387e075b1e55bb4cee37981404386671c0d18d82eaf5decd10f9f2daee8a05,median
8e632f6ea887062f51c8d21ac062e70f4b0f6e5af45688226e2deb1ed24cad8a,geometric mean
458db84062720fa9dc6429c6f9648913d637f1191e463270c1c9dad598272175,interquartile mean
37031f025c41131a78b1d78aad37047ac62a21b704e3ee0619aa7c006dc82158,interquartile mean
d6bada30f6b2ba702a98131f3e140be90087927be2e5f5b399be08c1e3c96252,geometric mean
f946ec75008dd601f8ae0a8431c2f9f9866ec10989f9fdfda90fb50db8fcbf7e,geometric mean
93f02754c06848fb179fcf2dab55c01862e373e5899434917a83394dc9e7fbfe,median
af027c99e4a2e18ae3b29f40189ca65e3f08f4f23d7d5271c9fcddf8fa64a4bc,geometric mean
30f52ff3dcaeda72350e0a2b84fbc3cf1c3455cd9822cb91ac56ee47b6d523f6,interquartile mean
26b7ad248a6cda909dc62b1110653dfc71fd44076bca01593b22d4deee5fa018,interquartile mean
7a986c44bec84448854b1f88dcb1f7914fc7f301669942c4f83c9ce26b9a1770,median
f760a203bac325e547a23dd4a2f26a4109aadbeb44408262aea01f937e3a397e,mean
28f87fbfc35ca336cb9c3433311152263dfc9124cdd7d96586a681732857c9a0,interquartile mean
7380faecfd49afb7dbc20decfb310dbb15c632b2cd8003bb9f8d41128b20481c,median
6fc225d0daddb4302244c24903d10f011c9739d4f336d15d0418d730c5e97be9,median
83ba9bed955097efa40a36628f564bf8785a3c55fd2b7b795b76d25f0bd701a4,mean
b81927e4becdece68e313177e22ab80d41bb0f04cdbf4edf349ed3b346b8196e,median
15688e6f06e5e832461acdc282ec35547df9e7a41e46b442a2bf735305f29dbf,interquartile mean
c4ac5b91b3d9f98ba75c6255ed2dae204d8bbfcf6d4d5bf6c373c11550ee34b5,interquartile mean
b31589ba3e31318a0495c83cf9c4841f40b1c3c1d8606a09818fda58b9a8467a,geometric mean
5232d7bf3a6636aeac3c04d51cd7f15f399bed2f908f0a992aaf2a8e68a20a86,geometric mean
0354fa127deb6e3b93672221f6ff949087c73ca67a45bc88ddcbde6042d40a8a,geometric mean
d67d6837f0877c54c2957adf511853fbca21bad7f849a383aa78c5a583873539,interquartile mean
e4b0028a438ce2914786c5228424eeb4821f5e6f6303b4a669a5ee60f4f9d435,interquartile mean
0ca24a060aa8b93a03c81fe2768d57cbcdbfb2c03d462c256fd6bd794450848f,geometric mean
84a221f49c60d3b7916c4229a6713b74a825b0516a8ad6c0577f9e70a91c90b7,trimmed mean
9531b859ce468322ce27a40e55d7526cbd90a94e2407e471ad6f185287a8f0bd,interquartile mean
7faf965065c12aee7db89e5bdc74c1a83cba48d81f5fc7921ff196a335746be4,geometric mean
119170d7296af886d4056595a9ffb3360e6435cf364ff323291067c46e4d4064,interquartile mean
b13802e177b69ec7aa1355014beeabbc16d0cb46a81e27d934e142bdc1eb5ce2,mean
dde7f8c5b0e496690a0396aae23d99f90dea389b46158898e66959977aa67937,interquartile mean
819ac40db301bfb09557b51f917b3ce238974509ed8abff91701bcde3b0f607c,interquartile mean
ce80f2ad44e9c008226202967f847c71944509f9f76ed5e9a42ad8e5c056604c,trimmed mean
82fcd921cefbba5e02249953a8e08b6fda53a14e9cb83732e60c1ce02aecd641,trimmed mean
a5517aa42eb1374e22ab213c4ef221fcc76a4f74440c9da38379450aaea244c7,trimmed mean
227ff6c6a0e45fbfb3556d31e09c7e3541061c2b983510e0736467c7f23b9b07,median
e918e6b6a231d602f9e0de1c9476825afc2b01fe3b6dd50714324eb336bd9516,median
9846be921d9b88e6a0e52b12fe29bc0398e12f6384f9b800a9a85597645f5672,median
f61296fcda2e814d663567b6f80c4236060ecd0448ab72d76a0bf8654e87b56d,median
81f5f09563b07edb26580238f79902b7dd17d16cfe62d7c8e8a7c15f3ad4bfca,interquartile mean
b6059dc7f998d4dc4f8b00be64eb2c896717790d1d1ed801f2359cfc4e3f8001,geometric mean
6c3cc666fa015e62de4cc9f5915f82d7f6bcbbcc37803ec6e68032ec333a510e,interquartile mean
3f613c55d57f95fe15534edae86f6863d67d2df186eb6721cd70a037b03cf7fa,geometric mean
a2ab0bf6b72e3fd02c3798a18fe0da5c4b5db76814c7844aeb6191bdcd2d82de,median
7c67244a774f1029fd04f9408d5667d5fefb690604aee5aa54bd0e68cb06ad53,mean
052bebc591bf4b678f0cc662e50ab5a477dfeee41661642c9c16cb12d0b7161b,geometric mean
699645277a0e4791307c7ecaa895451a3a4aeec0536dec4e57fca41b58209abb,geometric mean
185b13e2cd3d5dc5bf277133c78854b1272fdf392aab5859c0245b1d8e44d9bb,trimmed mean
267a050f61979c7486315babd77acf919b1993bc38b88b18b173c4bdf0cebec6,trimmed mean
94b5f1a3ab64f53bad1d65c01057abd668669ffec5aa04c28441f7dbd524c69b,median
886976aeff99c160cb71f0548507f933efc9641fa732ad026680f88411275440,geometric mean
491f92934275136a96a96bdf47d404d7d1421bce8f2df0f1dd1a08a287367bd1,interquartile mean
31ca2bd7978587b32b193adc1bb564ed0fea80accdca2b3d7d7718235bebf432,median
5c254dfc2534f414e3490181691229df73e3d018b09686f2fd393f809bf3af59,median
4757ab96df20626f35ef53d8747ab1ffce6f2d0579ad1472982821133738d0bf,median
d3bc6770ef4e9fbac5280c72c187c23b7305b8ebf69af473105b51003234b96e,geometric mean
f372ce124b44baf34c39343913f1479c1d3e361a96663d868c60187d5807d0b1,interquartile mean
302425938b1075199c368b80599c72a6836a5c24e51240ae88a9eb04522e3742,interquartile mean
c25420c042606aba032faeb60ab140f697911a5cbf8c26b48760abded2293dfb,interquartile mean
631d4b36c644a769d2b5e2a4afa8d7a6b3c1f436da30c710dde86ea24688fdbd,median
2e07ae79f8d920db00c81d763c5b0dba00c6bbb828239a3965384ab1c0687563,geometric mean
01c81634a40afe256a6ac56569b0279cea72e2240152b23308501be50da75dcd,geometric mean
c1db9976513ed77005e945b419699341ade73337607fe6ab49b508518136e711,interquartile mean
c856cec0638ebcdddfe58f9f37344c30444c498c7d976e2c0066c01c7c018c3d,interquartile mean
93b64c9f1484011c477e77e6704d13a133c2a6273e6391777ce2fae2966273ed,median
41abbe76d7bc63a84f40934d9e72b6d93c3e5d8a89727e958a635fa33c9437ae,interquartile mean
564fd24132b31dd7cda69fba82a7a7b1d81cba7b742b13669ce40f1255eaeb97,geometric mean
0cabb09274070ffcaf055c672e6304fbf2775f89d9d7d9598ccd4dddfb8cfb27,median
6301427f3352bd2f241f84cbb9e646522a1de6f3089d2d41626b0907a5e3ad2f,median
2c69b596e201027a3df8b3ce0e5e52d9f2176388e47be2a41e8854d25e8bfd18,median
b0a8ce0925a83efe2b07f836a8f9ad6e16f78d2cb8c414503980df0b71c580da,trimmed mean
c77639710bd89eea8855346472b0eb9175987e0eaeb35df92b1712ca09215f05,median
db654edb456746a2f0a91983cfc2cb033c0a3bfe048182f98a6eac80bb991f78,median
871c39835ef093344f55dd14dab9ea54a4e9d76ee5634fff2e2be7d8e656be8b,interquartile mean
d05df7be0a46c36c80d64ddd653ffef0fb45045703ddf75802b541a6b5209b12,median
285f8e7a01879313d77ac190b169982649e54303f4dcbff74f5d298f8f830aa2,interquartile mean
af1b3c72e229b0442d9bcc8be16a96a02369a282d7203ac7f0001aed2b3db980,median
f58a12c8598bbab1f67ef32d673007d0c14fb64dbf020109ed102fc9b145d578,interquartile mean
b9bb317200817dea817e1cca7957dabf2c0effc01cbeb78c2c5f16205994214c,trimmed mean
ea1f9a6a5335abea3269045414a163fc5f68c96585e5bd7ca4ac0063ee6993df,interquartile mean
84b2476222e2936db72bbb6aa7c6ede17e4da7adcb2e527ee368ca00692a8301,median
6bbfbef5f3e37c4ba383345d5a396c899c3b7ee022908d70b2125e41af8e30a5,mean
6a885212ba9271fc3f97ccb556a7cfae57a253b802a0b3e7d7a2aea21bac27de,geometric mean
80983b3dcd9d58aba7c75961eb7c28d78884c32674c6eefc45f761a8d00f8bfc,geometric mean
61f943138cefd2616fbe93b5d24f68147362db9cfc9bbb52e5a1f2a6fd5f967b,geometric mean
3c546cd1f0a42226c309b9c3ab4beea9e63c2db777d276e0f57cd1aaf87a52ba,geometric mean
67f174b3dcb3022eaa7d4d719b7c4c3edcd1ee5e1f67e1a8e7ac47365c8b03a8,geometric mean
88792fe267c490287c7b3a0c18c6ff0af0e99170abda0ee887d72a6154f614f4,median
d859cd7059e4e3192ef217cb10f4c2bd3af4a3416a6deb6f68e70a95bb5a522b,geometric mean
671a741c0631ec5f756d1487bbaed6006a90b7e485ddd51202485b1da2ac04e8,interquartile mean
e9a82b29d0a309758a434777091f8c92673ba8853bc06a59f399b92f7ba361b7,median
b069ed963d3cadb45ab3a7efd8206164ef1e31b412e13308695652029c44c556,geometric mean
c1a171d67f0b6e534b4c620f884f5037cf29fd381a6f9dad1a68d611fd40f1fd,mean
db61c4ee6eb88da1771264f60676a85face6199d0ae5682b5524e3b7847bbf29,median
ee63d1537005cb974ccaa16fc1f13973b6804eb34ddf0e970deeefd6274488c4,geometric mean
8bc89483b8493278fb94e48c4fae449d47cd2b665cb21c453db18d4013450670,interquartile mean
d1a993e12bc8c307683abd1354fed8a15018d7e5b2ab389d91946cc859a35dc3,median
4eecee48f13f813614b11a1725757c640564b6a8a12a0c55418fa4e2bf4c9b98,interquartile mean
9cc5676ccfe72cfa59a9270bbc79908726e4ce016d179f93af78af624e79da87,interquartile mean
c25d0f8e63ff8b02475608762c0d6d44cc4738755de90e236fcc21f1c3a81a38,geometric mean
d3fd845cf18b1c1c07b8e5285d586734c48d15a7e343b2ecc173bc8e9cc7d067,median
5a09a2d12414b719c1b3b9b6f739deb24099c7e571c79ee3b9b478216033eca5,median
90e33e948127eb1309fca8508394eadac9eda69825b8cf4c3ad4198154624937,geometric mean
b50de3521e5fc8e433dfcdb3eaee6355c08e2423a38dac4252d7b67783676084,interquartile mean
06d28ef7d52087510a9a25291b9b798bdfab97e6244408079a5a4e8371e40a90,median
2b3e854b51277b1f0598a8ed961e5c8b783afeb709d540b9f5fc979837f94277,geometric mean
2425bb768463ab011c1c42a312b68d10b736f6c38fd51fec98ed800a8fd44196,median
03b1101c22e41e0854ac2942b5f28789d7d83bf789f87c2a19aeedb844b9f29c,trimmed mean
e8e8c390ee664f9bb3b1b6656f6927ff0cabe1052c5cf759a91fb0c4a3f5b05e,median
e980d79800d183a799dbc755c68f4924fb1f27d789233c28c8b9ef634a627019,geometric mean
8e1b6f0ffe16a2864dfd840e34b93dd3886f4a74d5eca78160348b3feb2f1555,trimmed mean
98a39e3d640473b47b35f2a98f6004150502fec34b151a33e270c6a3bb3abb5d,interquartile mean
63dfb10d2ca8db701a2d148dc52a9f0bdf2450762a1a76a9b6476e779eff8776,interquartile mean
f6472ce91da838dcfbd745149bfe3965dfaf0c6447e663e3d5b7686d30c484ec,geometric mean
79f039b3691c1733525d050ea3f602d2c14ceff501a3e87ff86905098216888c,interquartile mean
b4c687d09ce1c46882f9729f250975fb8b23a7197d6276c4c07cc0eb0445736f,geometric mean
03fdd69071da59009f46b04fb7d02b9dfa3739771df1b50315f04210ebd41573,median
92602f3356effd3e4a500990bef5be9286719d68b22fd8dd4f9706517e3c31bb,trimmed mean
5d0decb5d72cb8fbe559721b21592b7a9f7c5bfa6d9a826fc91fdb1186173401,median
0247b5e66de997dd5a658c855594ebff900cf3022a5f147b7cf79e10eb70b3fd,interquartile mean
48df73c426135f466f45332f181935b1861d2a9739880c313aa927e93976fe90,geometric mean
4b34dff478fb937d9e10840940c0a51b7f447c84e450cd1bc007ff24e218f94d,interquartile mean
9526574677222d9f3855c3e2521e38bc7f1051b4e94e47e3e2c3439d6c0213b5,interquartile mean
bc1e3c99ebffa7a2b64cf337d9140c1eb4a4c4f0e24c23489ccb986432d4313d,trimmed mean
bf023f9a4701b0c96d0a1016a4ae75997b552111a36fed99d4ae6ced0961a4ed,interquartile mean
5fa74c2414265813240b95c1559bbc0f13215beda6639354b1da1d99a18d915f,trimmed mean
050fac337331bbe89445ea091074cc3ac2bbabd78ed965ad53a8506116cf2f07,trimmed mean
